,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,CorrectedQuestion,CorrectedAnswer,CorrectedCorrect
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0.0,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to thwart the efforts the school had made to change.",B) enforce,False
1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishjg blow, and they seemed to what the efforts the school had made to change?",punishing,punishjg,2,40,48,0.1,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
2,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a unishng blow, and they seemed to what the efforts the school had made to change?",punishing,unishng,2,40,47,0.2,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
3,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a pusninf blow, and they seemed to what the efforts the school had made to change?",punishing,pusninf,4,40,47,0.4,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
4,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a gpvscaniv blow, and they seemed to what the efforts the school had made to change?",punishing,gpvscaniv,8,40,49,0.8,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a significant blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
5,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0.0,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
6,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pehile were.  Where might he go?,people,pehile,2,32,38,0.1,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
7,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the ppl were.  Where might he go?,people,ppl,3,32,35,0.2,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
8,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pocpe were.  Where might he go?,people,pocpe,3,32,37,0.4,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
9,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the peoepl were.  Where might he go?,people,peoepl,2,32,38,0.8,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
