,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,Id,LogProbWord,ProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,CorrectedQuestion,CorrectedAnswer,CorrectedCorrect,CorrectInt,CorrectedCorrectInt,NormalizedEditDistance,NED < .1,
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0,0,,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,A) ignore,TRUE,TRUE,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",A) ignore,TRUE,1,1,0,1,#DIV/0!
1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a pusihng blow, and they seemed to what the efforts the school had made to change?",punishing,pusihng,3,40,47,0.2,0,-5.412289137,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,"The sanctions against the school were a crushing blow, and they seemed to what the efforts the school had made to change?",B) enforce,FALSE,0,0,0.428571429,0,
2,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punichin blow, and they seemed to what the efforts the school had made to change?",punishing,punichin,2,40,48,0.4,0,-5.412289137,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",A) ignore,TRUE,0,1,0.25,0,
3,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a puunszzy blow, and they seemed to what the efforts the school had made to change?",punishing,puunszzy,6,40,48,0.8,0,-5.412289137,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",A) ignore,TRUE,0,1,0.75,0,
4,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0,1,,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,TRUE,1,1,0,1,
5,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pople were.  Where might he go?,people,pople,1,32,37,0.1,1,-1.924112593,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,TRUE,1,1,0.2,0,
6,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pelple were.  Where might he go?,people,pelple,1,32,38,0.2,1,-1.924112593,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,TRUE,1,1,0.166666667,0,
7,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the seople were.  Where might he go?,people,seople,1,32,38,0.4,1,-1.924112593,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,TRUE,1,1,0.166666667,0,
8,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the eeg were.  Where might he go?,people,eeg,5,32,35,0.8,1,-1.924112593,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,A) race track,FALSE,TRUE,Sammy wanted to go to where the eels were. Where might he go?,B) populated areas,TRUE,0,1,1.666666667,0,
9,Google Maps and other highway and street GPS services have replaced what?,Google Maps and other highway and street GPS services have replaced what?,highway,highway,0,22,29,0,3,,0.03257063,Google Maps and other highway and street GPS services have replaced what?,22,29,"['A) united states', 'B) mexico', 'C) countryside', 'D) atlas', 'E) oceans']",D) atlas,D) atlas,TRUE,TRUE,Google Maps and other highway and street GPS services have replaced what?,D) atlas,TRUE,1,1,0,1,
