,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,Correct or Invalid,Original Correct,Any Typo Incorrect,Typo Change
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,0,0,1,0
1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0.1,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,0,,,
2,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0.2,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,0,,,
3,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punnhihng blow, and they seemed to what the efforts the school had made to change?",punishing,punnhihng,3,40,49,0.4,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,0,,,
4,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a pihhq blow, and they seemed to what the efforts the school had made to change?",punishing,pihhq,6,40,45,0.8,3.87E-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,FALSE,TRUE,0,,,
5,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,1,1,0,0
6,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0.1,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,1,,,
7,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the plopte were.  Where might he go?,people,plopte,2,32,38,0.2,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,1,,,
8,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pepole were.  Where might he go?,people,pepole,2,32,38,0.4,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,1,,,
9,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pvmlo were.  Where might he go?,people,pvmlo,4,32,37,0.8,0.011909332,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,TRUE,TRUE,1,,,
